tns_name,has_sub_bursts,num_sub_bursts,repeater_name,ra,ra_err,dec,dec_err,gl,gb,exp_up,exp_up_err,exp_low,exp_low_err,bonsai_snr,bonsai_dm,low_ft_68,up_ft_68,low_ft_95,up_ft_95,snr_fitb,dm_fitb,dm_fitb_err,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,scat_time_err,flux,flux_err,fluence,fluence_err,earliest_mjd_400,earliest_mjd_400_err,latest_mjd_400,latest_mjd_400_err,earliest_mjd_inf,earliest_mjd_inf_err,latest_mjd_inf,latest_mjd_inf_err,width_fitb,width_fitb_err,sp_idx,sp_idx_err,sp_run,sp_run_err,high_freq,low_freq,peak_freq,flag_frac,excluded_flag,is_repeater
FRB20180725A,False,1,-9999,93.42,0.039,67.07,0.21,147.29,21.29,30.0,18.0,-9999.0,-9999.0,19.2,716.6,0.0,2.7,0.0,5.0,33.2,715.8093,0.0041,644.2,635.4,0.00295,0.00110,0.00032,1.7,1.0,4.1,2.3,58324.7498032059,1.8e-09,58324.7498032059,1.8e-09,58324.7495885601,2.2e-09,58324.7495885601,2.2e-09,0.000296,7.6e-05,38.2,3.7,-45.8,4.2,760.1,485.3,607.4,0.403,1,False
FRB20180727A,False,1,-9999,197.72,0.13,26.42,0.26,24.76,85.6,10.4,7.1,-9999.0,-9999.0,10.4,642.1,0.0,1.9,0.0,3.1,12.2,642.134,0.015,620.9,622.4,0.00295,<0.0017,-9999.0,0.58,0.31,2.31,0.76,58326.0362615845,3.7e-09,58326.0362615845,3.7e-09,58326.0360690313,5.8e-09,58326.0360690313,5.8e-09,0.00139,0.00017,3.8,1.8,-9.2,3.0,800.2,400.2,493.3,0.387,1,False
FRB20180729A,False,1,-9999,199.4,0.12,55.58,0.084,115.26,61.16,21.0,11.0,-9999.0,-9999.0,32.0,108.4,0.0,4.6,0.0,8.6,206.6,109.59418,0.00031,78.8,86.8,0.00098,0.0001574,3.6e-06,11.7,6.8,17.0,10.0,58328.03356479831,3.2e-10,58328.03356479831,3.2e-10,58328.0335319349,3.4e-10,58328.0335319349,3.4e-10,<0.00010,-9999.0,16.46,0.24,-30.21,0.38,692.7,400.2,525.6,0.399,1,False
FRB20180729B,False,1,-9999,89.93,0.27,56.5,0.24,156.9,15.68,21.0,12.0,-9999.0,-9999.0,12.4,318.6,0.0,0.9,0.0,1.7,22.0,317.2235,0.0045,223.2,198.8,0.00197,0.00066,0.00018,0.92,0.59,1.2,0.74,58328.7280323977,3.7e-09,58328.7280323977,3.7e-09,58328.7279372735,4e-09,58328.7279372735,4e-09,0.000314,8.3e-05,14.5,3.5,-14.6,3.5,800.2,441.8,657.5,0.323,1,False
FRB20180730A,False,1,-9999,57.39,0.032,87.19,0.2,125.11,25.11,270.0,110.0,214.0,99.0,69.5,849.2,3.3,2.3,6.1,4.4,89.8,848.9041,0.0018,789.7,790.5,0.00492,0.002073,7.4e-05,5.2,2.8,27.0,12.0,58329.1511342663,1.2e-09,58329.1511342663,1.2e-09,58329.15087971,1.3e-09,58329.15087971,1.3e-09,0.000468,4e-05,4.27,0.3,-11.31,0.48,759.2,400.2,483.5,0.329,1,False
FRB20180801A,False,1,-9999,322.53,0.059,72.72,0.22,109.21,15.46,39.0,22.0,31.0,17.0,20.4,656.7,31.0,4.4,66.9,8.4,40.9,655.728,0.016,565.6,547.7,0.00983,0.00554,0.00037,1.11,0.65,7.9,4.8,58331.3662498721,3.6e-09,58331.3662498721,3.6e-09,58331.3660532425,6e-09,58331.3660532425,6e-09,0.00058,0.00021,60.0,4.8,-75.5,5.7,709.3,500.2,595.6,0.357,1,False
FRB20180806A,False,1,-9999,228.56,0.071,75.62,0.39,112.27,38.4,48.0,26.0,39.0,20.0,13.9,739.2,2.5,0.4,4.6,0.8,14.4,739.9482,0.008,699.3,706.0,0.00295,<0.0016,-9999.0,1.9,1.8,7.6,6.6,58336.5925115761,3.3e-09,58336.5925115761,3.3e-09,58336.5922896918,4.1e-09,58336.5922896918,4.1e-09,0.00141,0.00012,0.1,1.2,-0.1,1.6,800.2,400.2,665.3,0.406,1,False
FRB20180810A,False,1,-9999,101.47,0.13,34.86,0.24,180.67,14.06,15.0,8.3,-9999.0,-9999.0,13.1,415.7,0.0,1.5,0.0,2.7,16.5,414.8804,0.004,310.2,274.7,0.00197,0.000253,8e-05,1.1,0.86,1.7,1.0,58340.728472237,8.1e-08,58340.728472237,8.1e-08,58340.728347829,8.1e-08,58340.728347829,8.1e-08,0.000322,7.4e-05,1.1,1.5,-1.7,1.9,800.2,400.2,552.9,0.427,1,False
FRB20180810B,False,1,-9999,180.41,0.016,83.14,0.16,124.71,33.82,58.0,30.0,38.0,28.0,38.6,169.8,2.7,1.1,4.7,1.8,55.1,169.1385,0.0017,123.3,129.6,0.00098,0.000201,1.3e-05,5.2,1.3,7.9,2.1,58340.9449537088,2.4e-09,58340.9449537088,2.4e-09,58340.9449029901,2.5e-09,58340.9449029901,2.5e-09,0.000311,2.6e-05,-0.76,0.4,-4.06,0.71,778.6,400.2,400.2,0.411,1,False
FRB20180812A,False,1,-9999,19.33,0.27,80.78,0.28,124.02,17.96,50.0,28.0,45.0,27.0,12.5,795.8,6.2,2.1,12.2,4.1,20.5,802.451,0.035,722.1,708.4,0.00786,0.00281,0.00032,0.93,0.58,5.4,2.8,58342.4900925808,3.9e-09,58342.4900925808,3.9e-09,58342.489851954,1.1e-08,58342.489851954,1.1e-08,<0.0013,-9999.0,-2.9,1.4,-8.3,3.6,586.4,400.2,400.2,0.399,1,False
